id,condition,layer,pc1,pc2,true_quality,answer_type
reading_003,no_anchor_context,28,-6.1810837,-12.884243,10,correct
reading_004,no_anchor_context,28,9.93228,-12.62991,10,correct
reading_005,no_anchor_context,28,4.347455,-14.917254,2,incorrect
science_001,no_anchor_context,28,-2.6121902,-6.1209607,10,correct
science_002,no_anchor_context,28,18.458885,-6.0947986,2,incorrect
science_003,no_anchor_context,28,-4.1569567,-11.796184,10,correct
science_004,no_anchor_context,28,16.02185,-6.2300425,2,incorrect
math_001,low_anchor,28,9.442009,1.3201225,10,correct
math_002,low_anchor,28,12.524088,1.36724,2,incorrect
math_003,low_anchor,28,9.91909,2.6676815,10,correct
math_004,low_anchor,28,9.686932,0.77354187,2,incorrect
math_005,low_anchor,28,9.375145,1.6591563,10,correct
math_006,low_anchor,28,7.586459,1.1441941,3,incorrect
math_007,low_anchor,28,19.111889,-1.7034383,10,correct
math_008,low_anchor,28,14.955223,-0.98740774,10,correct
math_009,low_anchor,28,17.352062,-0.052365363,2,incorrect
math_010,low_anchor,28,1.6278434,-0.33387,10,correct
math_011,low_anchor,28,7.417101,-0.054226458,2,incorrect
math_012,low_anchor,28,-1.4076738,-0.9188178,10,correct
math_013,low_anchor,28,-3.243557,-0.7925864,2,incorrect
math_014,low_anchor,28,15.663812,2.4758918,10,correct
math_015,low_anchor,28,18.750084,2.1371303,2,incorrect
logic_001,low_anchor,28,-2.7181244,-13.75276,10,correct
logic_002,low_anchor,28,0.86562204,-12.525937,1,incorrect
logic_003,low_anchor,28,5.3495216,-6.6290116,10,correct
logic_004,low_anchor,28,13.927841,-7.3653216,3,incorrect
logic_005,low_anchor,28,1.8075409,-7.757378,10,correct
logic_006,low_anchor,28,18.158974,-2.9384487,9,mostly_correct
reading_001,low_anchor,28,29.75835,-5.9662127,10,correct
reading_002,low_anchor,28,29.154871,-3.3396187,1,incorrect
reading_003,low_anchor,28,16.616076,-6.5253186,10,correct
reading_004,low_anchor,28,26.78843,-4.98191,10,correct
reading_005,low_anchor,28,19.140442,-7.215693,2,incorrect
science_001,low_anchor,28,27.271872,-0.16261107,10,correct
science_002,low_anchor,28,27.810835,-0.79544836,2,incorrect
science_003,low_anchor,28,9.426191,-5.5817084,10,correct
science_004,low_anchor,28,30.035728,-0.8816796,2,incorrect
math_001,mid_anchor,28,13.180463,2.060942,10,correct
math_002,mid_anchor,28,16.373337,1.4258854,2,incorrect
math_003,mid_anchor,28,13.98753,3.603371,10,correct
math_004,mid_anchor,28,14.481681,1.7900379,2,incorrect
math_005,mid_anchor,28,13.496944,2.545285,10,correct
math_006,mid_anchor,28,11.078061,1.6790583,3,incorrect
math_007,mid_anchor,28,21.415758,0.33160132,10,correct
math_008,mid_anchor,28,18.343975,0.2563805,10,correct
math_009,mid_anchor,28,19.493721,1.3896058,2,incorrect
math_010,mid_anchor,28,5.242704,0.2245645,10,correct
math_011,mid_anchor,28,11.333985,0.9326603,2,incorrect
math_012,mid_anchor,28,2.5946174,-0.19220358,10,correct
math_013,mid_anchor,28,0.18009377,-0.53852874,2,incorrect
math_014,mid_anchor,28,18.3331,3.429584,10,correct
math_015,mid_anchor,28,20.995613,3.2396977,2,incorrect
logic_001,mid_anchor,28,-3.0188942,-13.520704,10,correct
logic_002,mid_anchor,28,4.014641,-11.967696,1,incorrect
logic_003,mid_anchor,28,9.173804,-5.707072,10,correct
logic_004,mid_anchor,28,17.435017,-5.5911417,3,incorrect
logic_005,mid_anchor,28,5.062321,-6.5857983,10,correct
logic_006,mid_anchor,28,21.810667,-0.4137836,9,mostly_correct
reading_001,mid_anchor,28,30.779697,-2.1884089,10,correct
reading_002,mid_anchor,28,31.361992,-0.64951044,1,incorrect
reading_003,mid_anchor,28,21.484322,-3.6002803,10,correct
reading_004,mid_anchor,28,28.793377,-1.9843109,10,correct
reading_005,mid_anchor,28,22.484606,-3.930253,2,incorrect
science_001,mid_anchor,28,27.31165,1.4928932,10,correct
science_002,mid_anchor,28,26.912449,0.25023788,2,incorrect
science_003,mid_anchor,28,11.0154915,-5.16343,10,correct
science_004,mid_anchor,28,29.03897,1.0704722,2,incorrect
math_001,high_anchor,28,22.083998,4.1367855,10,correct
math_002,high_anchor,28,23.201807,3.7097096,2,incorrect
math_003,high_anchor,28,21.420273,5.405475,10,correct
math_004,high_anchor,28,23.242134,3.4722881,2,incorrect
math_005,high_anchor,28,22.48681,5.1110215,10,correct
math_006,high_anchor,28,20.18462,3.863253,3,incorrect
math_007,high_anchor,28,29.096476,3.108189,10,correct
math_008,high_anchor,28,26.280052,3.1456203,10,correct
math_009,high_anchor,28,26.944126,3.6871872,2,incorrect
math_010,high_anchor,28,15.564402,3.1335895,10,correct
math_011,high_anchor,28,21.715525,3.5096455,2,incorrect
math_012,high_anchor,28,11.561243,1.995877,10,correct
math_013,high_anchor,28,7.081756,1.1893342,2,incorrect
math_014,high_anchor,28,24.668953,4.772145,10,correct
math_015,high_anchor,28,27.229017,4.948511,2,incorrect
logic_001,high_anchor,28,-2.4206638,-12.280914,10,correct
logic_002,high_anchor,28,11.125653,-8.925203,1,incorrect
logic_003,high_anchor,28,18.620657,-2.5391972,10,correct
logic_004,high_anchor,28,22.275799,-3.244402,3,incorrect
logic_005,high_anchor,28,17.608112,-1.0753095,10,correct
logic_006,high_anchor,28,30.788685,2.7657678,9,mostly_correct
reading_001,high_anchor,28,36.4132,0.60123676,10,correct
reading_002,high_anchor,28,39.774197,2.2893786,1,incorrect
reading_003,high_anchor,28,31.631578,1.4771552,10,correct
reading_004,high_anchor,28,33.688076,-0.2851289,10,correct
reading_005,high_anchor,28,30.146763,-1.2798321,2,incorrect
science_001,high_anchor,28,31.27406,1.8991623,10,correct
science_002,high_anchor,28,31.307627,0.9878134,2,incorrect
science_003,high_anchor,28,15.984177,-3.1902366,10,correct
science_004,high_anchor,28,33.547287,1.1875558,2,incorrect
